year,iso,aco,ch,che,cheb,chech,chee,chefs,chenfd,cmp,dcsfd,dd1,dvc,dvp,dvpdp,dvt,emp,fca,icapt,lco,opprft,pi,revt,foreign,firms
2018,COL,536832.9521041667,1497387.123134328,626806.9667083333,594335.4612083334,-43336.0415625,550999.4196458333,9446377.752105262,,,,304559.4679565217,1170379.4655,,,1170379.4655,12.67672,7801.360147540988,9750924.654507464,747837.9588958333,,953940.9326119405,5554437.034805969,1,67
2019,COL,122805.9990833334,1371874.495880597,543128.9679375001,480382.5850208334,-38499.89666666667,441882.6883541666,10024719.00063158,,,,275427.6320444444,1370301.407125,,,1370301.407125,13.3344074074074,16790.34786440678,9943751.206179108,409001.3413124999,,1012666.342686567,5571534.65016418,1,67
2020,COL,126438.6340208334,1782020.738940298,663434.3817916666,440945.7922916664,101420.6143333333,542376.82325,12108852.901,,,,297080.2693953488,686470.1775,,,686470.1775,11.818375,5299.157694915255,10519073.14755224,439216.5594374999,,561932.1139850748,4969060.698761195,1,67
2021,COL,193223.8963777777,2167970.297571428,923403.9953111112,589448.9217272728,260273.3745909091,849722.2963181817,13053931.98038889,,,,467635.5711999998,2516186.3184,,,2516186.3184,10.6898,21820.8007962963,13394725.30725397,571816.4752444446,,1276261.317555556,6219168.00163492,1,63
2022,COL,395046.688673913,1752818.933890625,899643.7645869565,813865.4582000001,23955.52822222222,837820.9864666666,11428183.24916667,,,,786307.29815,7526804.577666667,,,7526804.577666667,9.735708333333335,-57610.12041818182,14368357.633,876843.9340869565,,1754432.595015625,8200275.123921873,1,64
2023,COL,216471.2096590909,1834062.506048388,764752.978590909,771547.6106363636,-111641.5748409091,659906.0358181818,13806039.27705556,,,,799641.7016410256,1572337,,,1572337,7.926349999999999,86214.75692156862,14042646.84758065,655920.5275,,1231160.243774194,9133464.812774193,1,62
2024,COL,643707.2082045455,1886495.940548387,776396.3366590911,682280.1598409091,34031.33334090909,716138.6211818182,13435892.26066667,,,,574948.3929142857,2207898.5,,,2207898.5,7.477555555555556,-32075.22302000001,14949346.45946774,621945.68025,,1241049.741112903,8718305.86169355,1,62
2025,COL,212087.3286,2627021.59,1485498.913142857,881768.5290571429,70554.04980000001,952322.5788285712,18194667.89453333,,,,755047.8181515149,739323.6856666667,,,739323.6856666667,7.251400000000001,53349.32890243905,17079891.31118,683548.1220857142,,1321998.75282,9784171.08272,1,50
1994,CUW,,465,,,,,,,0,,0,0,0,0,0,,0,8326,,,680,708,1,1
1995,CUW,,501.6385,,,,,,,0,,0,0,0,0,0,,0,4279.024,,,261.995,276.312,1,2
1996,CUW,,726.6559999999999,,,,,,,0,,0,0,0,0,0,,0,3360.3285,,,220.532,233.2945,1,2
1997,CUW,,269.861,,,,,,,0,,0,0,0,0,0,0,0,3435.6575,,,197.979,209.0755,1,2
1998,CUW,,56.8135,,,,,,,0,,0,2.1125,0,0,2.1125,0,0,3454.4865,,,185.598,196.55,1,2
1999,CUW,,153.3795,,,,,,,0,,0,.452,0,0,.452,0,0,1907.7095,,,85.9145,92.07899999999999,1,2
2000,CUW,,90.639,,,,,,,0,,0,0,0,0,0,0,0,2651.7205,,,122.3155,131.8235,1,2
2001,CUW,,12.814,,,,,,,0,,0,0,0,0,0,0,0,2641.3685,,,138.8125,151.54,1,2
2002,CUW,,8.9305,,,,,,,0,,0,.133,0,0,.133,0,0,2226.227,,,95.54649999999999,110.4065,1,2
2003,CUW,,5.197,,,,,,,0,,0,.133,0,0,.133,0,0,1851.3855,,,73.81100000000001,86.012,1,2
2004,CUW,,43.9015,,,,,,,0,,0,.1325,0,0,.1325,0,0,1571.712,,,47.959,59.389,1,2
2005,CUW,,69.684,,,,,,,0,,0,0,0,0,0,0,0,1545.591,,,110.9195,127.281,1,2
2006,CUW,,39.7845,,,,,39.7845,,,,.057,,,0,,,,1508.0595,,,-13.5075,1.968,1,2
2007,CUW,,2.456,,,,,9.5585,,,,.053,,,0,,,-.106,1334.177,,,27.6475,42.2845,1,2
2008,CUW,,2.51,,,,,2.51,,,,,,,0,,,.058,4.507,,,-.453,6.232,1,1
2009,CUW,,.17,,,,,.17,,,,,,,0,,,,.22,,,-.321,-.192,1,1
2011,CUW,,31.822,,,,,31.822,,,,,,,,,,-.164,34.28,,,1.365,12.889,1,1
2012,CUW,,1.953,,,,,1.953,,,,,,,,,,-.338,2.405,,,-3.569,12.063,1,1
2013,CUW,,5.112,,,,,5.112,,,,,,,,,,-.133,3.469,,,-1.285,10.405,1,1
2014,CUW,,1.918,,,,,1.918,,,,,,,,,,-.162,-1.246,,,-3.676,13.367,1,1
2015,CUW,,3.526,,,,,3.526,,,,.065,,,,,.037,-.158,2.551,,,-.278,18.918,1,1
2016,CUW,,1.87,,,,,1.87,,,,.548,,,,,.034,-.088,24.145,,,-.696,19.902,1,1
2017,CUW,,3.852,,,,,3.852,,,,3.431,,,,,.099,-.038,21.458,,,.777,145.505,1,1
2018,CUW,,.003,,,,,.003,,,,,,,,,,,.001,,,-.854,.093,1,1
2019,CUW,,.017,,,,,.017,,,,,,,,,,,.006,,,-.075,,1,1
